LGA,uv_index
Alpine,9.8
Ararat,9.6
Ballarat,9.3
Banyule,9.1
Bass Coast,8.8
Baw Baw,9
Bayside (Vic.),8.9
Benalla,9.4
Boroondara,8.9
Brimbank,9.2
Buloke,9.7
Campaspe,9.4
Cardinia,9
Casey,8.9
Central Goldfields,9.4
Colac Otway,9
Corangamite,9.2
Darebin,9.2
East Gippsland,9
Frankston,8.9
Gannawarra,9.6
Glen Eira,8.9
Glenelg,9.3
Golden Plains,9.2
Greater Bendigo,9.4
Greater Dandenong,8.9
Greater Geelong,9
Greater Shepparton,9.3
Hepburn,9.4
Hindmarsh,9.8
Hobsons Bay,8.9
Horsham,9.6
Hume,9.5
Indigo,9.5
Kingston (Vic.),9.4
Knox,8.9
Latrobe (Vic.),8.8
Loddon,9.5
Macedon Ranges,9.3
Manningham,9
Mansfield,9.4
Maribyrnong,9.2
Maroondah,9.2
Melbourne,8.9
Melton,9.3
Merri-bek,9.2
Mildura,10.1
Mitchell,9.4
Moira,9.4
Monash,8.9
Moonee Valley,9.2
Moorabool,9
Mornington Peninsula,8.9
Mount Alexander,9.4
Moyne,9
Murrindindi,9.3
Nillumbik,9.1
Northern Grampians,9.6
Port Phillip,8.8
Pyrenees,9.4
Queenscliffe,8.8
South Gippsland,8.8
Southern Grampians,9.4
Stonnington,8.9
Strathbogie,9.3
Surf Coast,8.9
Swan Hill,9.8
Towong,9.8
Wangaratta,9.3
Warrnambool,9
Wellington,8.8
West Wimmera,9.7
Whitehorse,8.9
Whittlesea,9.1
Wodonga,9.5
Wyndham,8.9
Yarra,9.1
Yarra Ranges,9.2
Yarriambiack,9.8
Unincorporated Vic,9.5
No usual address (Vic.),9.5
Migratory - Offshore - Shipping (Vic.),9.5
